Number of Records,Returned,Order ID,Updated Order Returns
1,Yes,CA-2011-100762,CA-2011-100762 Procut Description Inaccurate
1,Yes,CA-2011-100867,CA-2011-100867 Product Arrived After Promised Delivery Date
1,Yes,CA-2011-102652,CA-2011-102652 Product Damaged
1,Yes,CA-2011-103373,CA-2011-103373 Incorrect Products Delivered
1,Yes,CA-2011-103744,CA-2011-103744 Procut Description Inaccurate
1,Yes,CA-2011-103940,CA-2011-103940 Procut Description Inaccurate
1,Yes,CA-2011-104829,CA-2011-104829 Customer Dissatified With Product
1,Yes,CA-2011-105270,CA-2011-105270 Customer Dissatified With Product
1,Yes,CA-2011-108609,CA-2011-108609 Procut Description Inaccurate
1,Yes,CA-2011-108861,CA-2011-108861 Procut Description Inaccurate
1,Yes,CA-2011-109918,CA-2011-109918 Customer Dissatified With Product
1,Yes,CA-2011-110786,CA-2011-110786 Product Ordered Accidently
1,Yes,CA-2011-111871,CA-2011-111871 Customer Dissatified With Product
1,Yes,CA-2011-116785,CA-2011-116785 Incorrect Products Delivered
1,Yes,CA-2011-123225,CA-2011-123225 Product Damaged
1,Yes,CA-2011-123253,CA-2011-123253 Procut Description Inaccurate
1,Yes,CA-2011-123498,CA-2011-123498 Product Ordered Accidently
1,Yes,CA-2011-124688,CA-2011-124688 Procut Description Inaccurate
1,Yes,CA-2011-126361,CA-2011-126361 Customer Dissatified With Product
1,Yes,CA-2011-126403,CA-2011-126403 Product Ordered Accidently
1,Yes,CA-2011-126522,CA-2011-126522 Customer Dissatified With Product
1,Yes,CA-2011-127012,CA-2011-127012 Product Arrived After Promised Delivery Date
1,Yes,CA-2011-127131,CA-2011-127131 Customer Dissatified With Product
1,Yes,CA-2011-133690,CA-2011-133690 Procut Description Inaccurate
1,Yes,CA-2011-134726,CA-2011-134726 Customer Dissatified With Product
1,Yes,CA-2011-135657,CA-2011-135657 Procut Description Inaccurate
1,Yes,CA-2011-135699,CA-2011-135699 Procut Description Inaccurate
1,Yes,CA-2011-140816,CA-2011-140816 Procut Description Inaccurate
1,Yes,CA-2011-141726,CA-2011-141726 Product Arrived After Promised Delivery Date
1,Yes,CA-2011-142769,CA-2011-142769 Customer Dissatified With Product
1,Yes,CA-2011-143336,CA-2011-143336 Procut Description Inaccurate
1,Yes,CA-2011-143840,CA-2011-143840 Incorrect Products Delivered
1,Yes,CA-2011-148614,CA-2011-148614 Procut Description Inaccurate
1,Yes,CA-2011-148950,CA-2011-148950 Procut Description Inaccurate
1,Yes,CA-2011-151162,CA-2011-151162 Incorrect Products Delivered
1,Yes,CA-2011-152345,CA-2011-152345 Product Damaged
1,Yes,CA-2011-153150,CA-2011-153150 Procut Description Inaccurate
1,Yes,CA-2011-156349,CA-2011-156349 Product Damaged
1,Yes,CA-2011-157924,CA-2011-157924 Product Damaged
1,Yes,CA-2011-159338,CA-2011-159338 Procut Description Inaccurate
1,Yes,CA-2011-160766,CA-2011-160766 Procut Description Inaccurate
1,Yes,CA-2011-160773,CA-2011-160773 Incorrect Products Delivered
1,Yes,CA-2011-164721,CA-2011-164721 Procut Description Inaccurate
1,Yes,CA-2011-164861,CA-2011-164861 Procut Description Inaccurate
1,Yes,CA-2011-166744,CA-2011-166744 Procut Description Inaccurate
1,Yes,CA-2011-169019,CA-2011-169019 Customer Dissatified With Product
1,Yes,CA-2012-101910,CA-2012-101910 Incorrect Products Delivered
1,Yes,CA-2012-103716,CA-2012-103716 Procut Description Inaccurate
1,Yes,CA-2012-104129,CA-2012-104129 Product Damaged
1,Yes,CA-2012-105158,CA-2012-105158 Procut Description Inaccurate
1,Yes,CA-2012-107678,CA-2012-107678 Product Arrived After Promised Delivery Date
1,Yes,CA-2012-109736,CA-2012-109736 Procut Description Inaccurate
1,Yes,CA-2012-110814,CA-2012-110814 Procut Description Inaccurate
1,Yes,CA-2012-111948,CA-2012-111948 Procut Description Inaccurate
1,Yes,CA-2012-112144,CA-2012-112144 Procut Description Inaccurate
1,Yes,CA-2012-113628,CA-2012-113628 Procut Description Inaccurate
1,Yes,CA-2012-114048,CA-2012-114048 Procut Description Inaccurate
1,Yes,CA-2012-116092,CA-2012-116092 Product Ordered Accidently
1,Yes,CA-2012-119214,CA-2012-119214 Procut Description Inaccurate
1,Yes,CA-2012-119907,CA-2012-119907 Procut Description Inaccurate
1,Yes,CA-2012-123568,CA-2012-123568 Procut Description Inaccurate
1,Yes,CA-2012-124058,CA-2012-124058 Procut Description Inaccurate
1,Yes,CA-2012-130456,CA-2012-130456 Procut Description Inaccurate
1,Yes,CA-2012-130785,CA-2012-130785 Customer Dissatified With Product
1,Yes,CA-2012-132374,CA-2012-132374 Procut Description Inaccurate
1,Yes,CA-2012-132941,CA-2012-132941 Product Arrived After Promised Delivery Date
1,Yes,CA-2012-134075,CA-2012-134075 Product Ordered Accidently
1,Yes,CA-2012-134201,CA-2012-134201 Procut Description Inaccurate
1,Yes,CA-2012-135580,CA-2012-135580 Procut Description Inaccurate
1,Yes,CA-2012-138674,CA-2012-138674 Customer Dissatified With Product
1,Yes,CA-2012-139731,CA-2012-139731 Product Arrived After Promised Delivery Date
1,Yes,CA-2012-140984,CA-2012-140984 Product Ordered Accidently
1,Yes,CA-2012-141593,CA-2012-141593 Product Arrived After Promised Delivery Date
1,Yes,CA-2012-142601,CA-2012-142601 Procut Description Inaccurate
1,Yes,CA-2012-143238,CA-2012-143238 Procut Description Inaccurate
1,Yes,CA-2012-143490,CA-2012-143490 Procut Description Inaccurate
1,Yes,CA-2012-143602,CA-2012-143602 Procut Description Inaccurate
1,Yes,CA-2012-144267,CA-2012-144267 Procut Description Inaccurate
1,Yes,CA-2012-146255,CA-2012-146255 Procut Description Inaccurate
1,Yes,CA-2012-146262,CA-2012-146262 Product Arrived After Promised Delivery Date
1,Yes,CA-2012-146486,CA-2012-146486 Product Ordered Accidently
1,Yes,CA-2012-148873,CA-2012-148873 Procut Description Inaccurate
1,Yes,CA-2012-149342,CA-2012-149342 Procut Description Inaccurate
1,Yes,CA-2012-149636,CA-2012-149636 Incorrect Products Delivered
1,Yes,CA-2012-149650,CA-2012-149650 Product Arrived After Promised Delivery Date
1,Yes,CA-2012-150770,CA-2012-150770 Product Arrived After Promised Delivery Date
1,Yes,CA-2012-150875,CA-2012-150875 Product Arrived After Promised Delivery Date
1,Yes,CA-2012-151547,CA-2012-151547 Customer Dissatified With Product
1,Yes,CA-2012-153220,CA-2012-153220 Procut Description Inaccurate
1,Yes,CA-2012-154970,CA-2012-154970 Customer Dissatified With Product
1,Yes,CA-2012-155761,CA-2012-155761 Product Damaged
1,Yes,CA-2012-156440,CA-2012-156440 Product Damaged
1,Yes,CA-2012-157770,CA-2012-157770 Incorrect Products Delivered
1,Yes,CA-2012-157812,CA-2012-157812 Customer Dissatified With Product
1,Yes,CA-2012-161627,CA-2012-161627 Procut Description Inaccurate
1,Yes,CA-2012-162166,CA-2012-162166 Incorrect Products Delivered
1,Yes,CA-2012-164882,CA-2012-164882 Product Arrived After Promised Delivery Date
1,Yes,CA-2012-168480,CA-2012-168480 Product Damaged
1,Yes,CA-2012-168564,CA-2012-168564 Product Damaged
1,Yes,CA-2012-169397,CA-2012-169397 Product Damaged
1,Yes,CA-2013-104689,CA-2013-104689 Procut Description Inaccurate
1,Yes,CA-2013-105081,CA-2013-105081 Product Arrived After Promised Delivery Date
1,Yes,CA-2013-105291,CA-2013-105291 Procut Description Inaccurate
1,Yes,CA-2013-105585,CA-2013-105585 Incorrect Products Delivered
1,Yes,CA-2013-106950,CA-2013-106950 Procut Description Inaccurate
1,Yes,CA-2013-109806,CA-2013-109806 Customer Dissatified With Product
1,Yes,CA-2013-109869,CA-2013-109869 Procut Description Inaccurate
1,Yes,CA-2013-111682,CA-2013-111682 Product Damaged
1,Yes,CA-2013-112123,CA-2013-112123 Procut Description Inaccurate
1,Yes,CA-2013-112340,CA-2013-112340 Product Ordered Accidently
1,Yes,CA-2013-113341,CA-2013-113341 Product Arrived After Promised Delivery Date
1,Yes,CA-2013-114307,CA-2013-114307 Product Ordered Accidently
1,Yes,CA-2013-114727,CA-2013-114727 Product Ordered Accidently
1,Yes,CA-2013-115917,CA-2013-115917 Product Arrived After Promised Delivery Date
1,Yes,CA-2013-116547,CA-2013-116547 Customer Dissatified With Product
1,Yes,CA-2013-116736,CA-2013-116736 Procut Description Inaccurate
1,Yes,CA-2013-118311,CA-2013-118311 Procut Description Inaccurate
1,Yes,CA-2013-118500,CA-2013-118500 Procut Description Inaccurate
1,Yes,CA-2013-118899,CA-2013-118899 Product Damaged
1,Yes,CA-2013-120873,CA-2013-120873 Procut Description Inaccurate
1,Yes,CA-2013-123526,CA-2013-123526 Product Arrived After Promised Delivery Date
1,Yes,CA-2013-124527,CA-2013-124527 Product Damaged
1,Yes,CA-2013-126529,CA-2013-126529 Procut Description Inaccurate
1,Yes,CA-2013-126732,CA-2013-126732 Customer Dissatified With Product
1,Yes,CA-2013-128671,CA-2013-128671 Procut Description Inaccurate
1,Yes,CA-2013-130477,CA-2013-130477 Procut Description Inaccurate
1,Yes,CA-2013-130638,CA-2013-130638 Procut Description Inaccurate
1,Yes,CA-2013-130680,CA-2013-130680 Procut Description Inaccurate
1,Yes,CA-2013-133319,CA-2013-133319 Procut Description Inaccurate
1,Yes,CA-2013-133368,CA-2013-133368 Procut Description Inaccurate
1,Yes,CA-2013-133802,CA-2013-133802 Procut Description Inaccurate
1,Yes,CA-2013-134775,CA-2013-134775 Procut Description Inaccurate
1,Yes,CA-2013-134803,CA-2013-134803 Procut Description Inaccurate
1,Yes,CA-2013-136483,CA-2013-136483 Customer Dissatified With Product
1,Yes,CA-2013-136924,CA-2013-136924 Procut Description Inaccurate
1,Yes,CA-2013-138282,CA-2013-138282 Customer Dissatified With Product
1,Yes,CA-2013-139269,CA-2013-139269 Procut Description Inaccurate
1,Yes,CA-2013-142398,CA-2013-142398 Product Ordered Accidently
